实时力矩
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
┃  PATIENT:伦庆龙	┃  ITEM:被动训练	┃  STRAT TIME:2024/7/17 23:00:33	┃  Remarks:
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
Fx	Tx	Fy	Ty	Fz	Tz
72.8134	-4.2818	-58.4819	0.8100	-100.5356	0.8686
72.5277	-4.2469	-58.4731	0.7980	-99.2974	0.8516
71.9234	-4.1211	-58.9154	0.6916	-95.1639	0.8117
71.8110	-4.1545	-57.8379	0.7768	-98.9189	0.8147
71.4131	-4.3315	-58.2081	0.8674	-104.8329	0.7931
71.3894	-4.0530	-56.1615	0.7926	-100.4582	0.7946
71.0033	-4.0379	-55.4190	0.8416	-101.7220	0.7749
71.1804	-3.8244	-54.2172	0.7798	-96.6761	0.7908
70.6985	-3.7411	-54.2389	0.7238	-92.5573	0.7622
70.2863	-3.9247	-53.6597	0.8609	-98.3140	0.7517
70.2958	-3.7325	-52.0259	0.8281	-93.4888	0.7620
70.1956	-3.8723	-50.3219	1.0004	-98.4953	0.7822
69.9941	-3.9269	-49.1186	1.1061	-102.6633	0.7853
69.9029	-3.6650	-48.6803	0.9822	-95.7216	0.7673
69.7612	-4.0534	-48.2683	1.2193	-107.2101	0.7745
69.7126	-3.7134	-48.1640	1.0503	-99.2330	0.7508
69.3270	-3.5790	-47.7879	0.9899	-96.1778	0.7305
68.8862	-3.8263	-47.6502	1.1373	-104.3741	0.7176
68.5226	-3.9401	-47.7488	1.1927	-107.2239	0.6955
68.3731	-3.6499	-47.5202	1.0437	-100.2755	0.6719
68.1283	-3.9465	-47.5262	1.2363	-109.4823	0.6592
67.9897	-3.7838	-47.3644	1.1434	-105.3979	0.6501
67.8428	-3.7697	-47.2698	1.1431	-105.3978	0.6304
67.4613	-3.7694	-47.2189	1.1496	-107.0397	0.6080
67.2636	-3.5713	-47.1787	1.0445	-102.3299	0.5819
66.8648	-3.7406	-47.1132	1.1473	-108.8873	0.5630
66.1729	-3.4789	-47.5280	0.9952	-104.3571	0.4976
66.0390	-3.2945	-47.5355	0.9142	-100.8755	0.4689
66.0236	-3.1879	-47.4642	0.8358	-99.4576	0.4544
65.6212	-3.3643	-47.5741	0.9426	-106.2086	0.4328
65.2658	-3.1880	-47.7041	0.8240	-102.1034	0.3955
65.2392	-2.9465	-47.8353	0.7107	-97.5988	0.3751
64.9174	-3.1306	-48.1631	0.7889	-103.5209	0.3646
64.3307	-3.3718	-48.2815	0.9242	-110.4617	0.3348
64.2520	-3.1034	-48.3611	0.7631	-102.8790	0.3168
63.7935	-3.3940	-48.4871	0.9101	-111.0530	0.2954
63.9423	-3.2524	-48.5956	0.8465	-107.1534	0.2865
63.5194	-3.1964	-48.3138	0.8052	-105.7290	0.2608
63.5246	-3.0475	-48.4163	0.7200	-102.6586	0.2519
63.1175	-3.2386	-48.5236	0.8184	-108.9948	0.2218
62.9562	-3.1109	-48.7188	0.7616	-106.7333	0.2074
62.6692	-3.0825	-48.7029	0.7356	-107.3510	0.1820
62.6453	-2.8489	-49.0085	0.6021	-101.8099	0.1672
62.1518	-3.1956	-49.2323	0.7972	-112.4360	0.1406
62.1614	-2.6228	-49.2161	0.4713	-97.0837	0.1158
61.8310	-2.9478	-49.4380	0.6542	-107.7183	0.0976
61.3544	-2.9976	-49.6061	0.6554	-110.3722	0.0696
61.3587	-2.5659	-49.7481	0.4262	-99.3085	0.0456
60.9163	-2.8279	-49.8711	0.5570	-107.2851	0.0326
60.7052	-2.7997	-49.9873	0.5313	-107.2769	0.0072
60.5415	-2.8283	-50.2457	0.5299	-108.4904	-0.0096
60.3272	-2.6655	-50.3863	0.4363	-105.0032	-0.0298
60.1429	-2.4460	-50.5141	0.3101	-100.4953	-0.0587
59.9581	-2.6360	-50.5872	0.4332	-108.0739	-0.0689
59.9309	-2.1339	-50.7550	0.1388	-94.9650	-0.0962
59.4659	-2.5641	-50.7724	0.3803	-110.5372	-0.1168
59.3444	-2.6492	-50.9967	0.4193	-113.1813	-0.1389
59.1912	-2.5155	-51.1040	0.3434	-108.6625	-0.1479
58.7771	-2.5864	-51.1489	0.3654	-111.7329	-0.1673
58.7342	-2.2547	-51.3955	0.1688	-101.6810	-0.1799
58.4566	-2.4886	-51.5166	0.2925	-108.0133	-0.1930
58.2855	-2.6658	-51.5852	0.3843	-112.7123	-0.2036
58.1375	-2.5249	-51.6009	0.2958	-108.2011	-0.2155
57.7191	-2.7450	-51.8069	0.4034	-113.7079	-0.2258
57.7571	-2.4065	-51.9197	0.1947	-103.0487	-0.2386
57.5421	-2.6617	-51.9183	0.3397	-109.1786	-0.2432
57.6513	-2.7320	-51.9358	0.3966	-111.4314	-0.2344
57.7096	-2.6336	-51.9098	0.3155	-107.9480	-0.2519
57.7921	-2.6118	-52.0446	0.3283	-107.9429	-0.2433
57.2354	-2.9448	-52.0488	0.4995	-117.3542	-0.2561
57.3816	-2.8105	-51.8945	0.4319	-113.2638	-0.2651
57.2176	-2.6900	-51.8269	0.3710	-110.8114	-0.2796
57.3262	-2.3435	-51.6360	0.1910	-100.9889	-0.2979
57.2370	-2.4915	-51.4045	0.3084	-105.7074	-0.2971
57.0326	-2.8737	-51.9020	0.5079	-116.5291	-0.2982
56.7938	-2.4926	-51.8235	0.2573	-105.6810	-0.3254
56.4934	-2.7763	-52.2123	0.3925	-113.2276	-0.3383
56.3812	-2.4522	-52.6714	0.1581	-103.1703	-0.3482
56.1825	-2.8204	-52.8207	0.3588	-112.7778	-0.3439
56.4404	-2.4661	-52.3728	0.1997	-103.3831	-0.3537
56.3628	-2.5928	-52.1378	0.3050	-107.4877	-0.3530
56.2443	-2.5440	-52.2110	0.2521	-105.4337	-0.3590
55.9835	-2.6517	-53.2999	0.2117	-107.8368	-0.3700
56.0383	-2.5528	-53.1904	0.1468	-105.1817	-0.3818
56.0488	-2.7925	-52.7973	0.3162	-112.5703	-0.3863
56.0955	-2.4105	-52.4744	0.1413	-101.7264	-0.4047
55.9591	-2.8139	-52.8433	0.3365	-112.9699	-0.3974
56.0804	-2.7358	-53.2241	0.2836	-111.5257	-0.3892
55.8204	-2.6517	-53.1240	0.2528	-108.0347	-0.4008
55.9404	-2.7081	-53.1334	0.2849	-109.6730	-0.4005
55.7526	-2.6517	-53.4216	0.2185	-108.8476	-0.4036
55.9681	-2.6654	-53.4726	0.2433	-109.4604	-0.3978
55.9527	-2.4114	-53.1652	0.1078	-101.2757	-0.4159
55.7082	-2.4617	-53.4682	0.0937	-102.4879	-0.4270
55.5118	-2.7100	-54.1546	0.1754	-109.2113	-0.4261
56.0156	-2.7149	-53.5212	0.2712	-110.8878	-0.4088
56.4252	-2.6282	-53.0442	0.2897	-109.8993	-0.3864
56.5897	-2.4502	-52.8023	0.2221	-106.4414	-0.3813
56.6765	-2.2949	-52.6009	0.1260	-101.5394	-0.3793
56.3748	-2.4360	-52.9265	0.1965	-107.0577	-0.3814
56.8267	-2.2939	-52.8657	0.1333	-103.1761	-0.3707
56.7985	-2.3500	-52.9633	0.1566	-105.6383	-0.3591
56.6700	-2.7030	-52.5481	0.3986	-116.0960	-0.3604
56.4547	-2.7279	-53.4563	0.3219	-111.5143	-0.3692
56.0390	-2.8967	-55.5110	0.2185	-108.0958	-0.3664
56.2388	-3.0579	-54.7586	0.3602	-114.0781	-0.3657
56.1646	-2.7819	-54.5785	0.1949	-106.9298	-0.3669
56.5273	-2.8025	-54.7262	0.2327	-107.5408	-0.3413
56.5918	-2.5406	-54.3756	0.0925	-100.3954	-0.3481
56.7097	-2.5894	-54.0396	0.1454	-102.4647	-0.3422
56.6196	-2.6042	-53.8345	0.1886	-100.8180	-0.3365
56.7111	-2.5834	-53.8740	0.1605	-99.3820	-0.3311
56.2565	-2.8885	-54.3500	0.2742	-107.7528	-0.3328
56.4265	-2.9723	-53.8918	0.3638	-111.0563	-0.3267
56.8744	-2.8008	-53.0576	0.3684	-106.7997	-0.3075
56.7390	-3.0780	-53.9701	0.4671	-113.0925	-0.3036
56.6856	-2.6842	-55.1886	0.1091	-100.5476	-0.3140
56.8315	-2.9812	-55.1503	0.2530	-108.5404	-0.2989
56.9394	-2.7831	-54.7686	0.1410	-102.8323	-0.2943
57.2334	-2.6190	-54.1912	0.1407	-98.9671	-0.2918
57.4250	-2.6600	-53.6413	0.2144	-101.4603	-0.2802
57.5456	-2.5601	-53.3293	0.2000	-99.4333	-0.2692
57.2984	-2.7222	-52.7469	0.3167	-104.7876	-0.2714
57.2775	-3.0112	-52.4583	0.5395	-113.6016	-0.2643
57.1552	-2.8279	-52.4674	0.4186	-108.0730	-0.2680
57.1766	-2.5460	-53.1902	0.1827	-99.8534	-0.2778
57.2054	-2.9278	-53.9039	0.3569	-111.2913	-0.2677
57.3673	-2.7942	-54.4428	0.2311	-106.7636	-0.2627
57.6416	-2.7014	-54.2964	0.1867	-105.1422	-0.2631
57.8051	-2.8069	-54.1046	0.2724	-108.2251	-0.2485
57.7933	-3.0967	-53.8942	0.4537	-116.2160	-0.2473
57.8470	-2.8637	-53.7227	0.3134	-109.0589	-0.2484
58.0537	-2.8990	-53.7794	0.3428	-109.2584	-0.2342
58.3118	-2.6932	-53.5779	0.2517	-103.9518	-0.2237
58.5366	-2.5509	-53.2106	0.1881	-100.7061	-0.2102
58.3935	-2.6787	-53.4479	0.2519	-103.9639	-0.2153
58.4655	-2.5590	-53.6862	0.1591	-99.8560	-0.2159
58.3177	-2.6934	-53.6611	0.2266	-103.9527	-0.2210
58.4846	-3.0674	-53.6070	0.4732	-114.6033	-0.1939
58.7898	-2.9184	-53.6334	0.4060	-110.5117	-0.1804
58.4098	-2.9338	-53.8470	0.3894	-109.6689	-0.1945
58.7463	-2.6090	-54.3163	0.1806	-99.6145	-0.1874
58.7340	-2.9283	-54.6285	0.3207	-106.7576	-0.1779
58.6763	-3.1615	-54.2819	0.4787	-112.9127	-0.1685
58.8549	-2.9628	-53.8643	0.3916	-107.8246	-0.1524
58.9831	-2.9977	-53.7875	0.4284	-109.0584	-0.1466
59.1272	-3.0189	-53.8787	0.4241	-109.4688	-0.1353
59.3234	-3.0755	-53.9344	0.4568	-110.4878	-0.1294
59.5145	-3.1387	-53.7348	0.5019	-112.1424	-0.1067
60.0280	-2.7567	-53.7679	0.2868	-100.4778	-0.0802
59.5739	-3.3014	-53.5090	0.6120	-115.8355	-0.0892
59.9393	-3.0539	-53.6030	0.4641	-108.2609	-0.0734
59.9746	-3.1320	-53.4867	0.5008	-109.4929	-0.0648
60.1608	-3.2252	-54.1573	0.5212	-109.8569	-0.0560
60.3892	-3.2328	-54.4676	0.5098	-108.6089	-0.0419
60.3314	-3.6299	-54.6251	0.7112	-117.6004	-0.0208
60.4918	-3.3632	-55.3621	0.5109	-106.6941	-0.0221
60.4608	-3.4426	-55.7235	0.5152	-106.2550	-0.0107
60.5743	-3.6473	-55.6333	0.6404	-111.9958	0.0070
60.6721	-3.4781	-55.6936	0.5283	-106.2607	0.0174
60.6319	-3.5561	-55.7938	0.5643	-108.0967	0.0206
60.9217	-3.3319	-56.5437	0.3889	-97.8053	0.0363
60.6902	-3.8016	-57.5732	0.5644	-106.7382	0.0436
60.9612	-3.5527	-56.8397	0.4817	-101.2541	0.0370
61.1265	-3.6575	-56.5583	0.5580	-105.7894	0.0572
61.3418	-3.6939	-56.7870	0.5551	-104.3369	0.0769
