time,degreeX,degreeY,degreeZ,,,,
24.5,-5.788637364,-16.58093935,14.15706092,,0.492708851,,0.503868668
24.6,-5.762855925,-16.56255599,14.0541798,,0.535591189,,0.407835706
24.7,-5.739157516,-16.54441965,13.9508399,,0.576369543,,0.310553189
24.8,-5.717538308,-16.52652915,13.84705019,,0.615075585,,0.212044455
24.9,-5.697993555,-16.50888311,13.74281991,,0.651738273,,0.112335258
25,-5.680517589,-16.49148001,13.63815847,,0.68638378,,0.011453726
25.1,-5.665103829,-16.47431818,13.53307554,,0.719035484,,-0.090569692
25.2,-5.651744788,-16.45739577,13.427581,,0.749714,,-0.193702262
25.3,-5.640432075,-16.4407108,13.32168498,,0.77843727,,-0.29790898
25.4,-5.631156402,-16.42426111,13.21539781,,0.805220686,,-0.403152551
25.5,-5.623907594,-16.4080444,13.10873005,,0.830077248,,-0.509393345
25.6,-5.618674592,-16.39205822,13.0016925,,0.853017747,,-0.61658935
25.7,-5.615445466,-16.37629997,12.89429618,,0.874050974,,-0.724696137
25.8,-5.61420742,-16.36076687,12.78655234,,0.893183933,,-0.833666881
25.9,-5.614946803,-16.34545604,12.67847245,,0.910422069,,-0.94345242
26,-5.617649117,-16.33036442,12.5700682,,0.925769498,,-1.054001365
26.1,-5.622299029,-16.31548881,12.46135152,,0.939229226,,-1.165260229
26.2,-5.628880384,-16.30082588,12.35233455,,0.950803374,,-1.277173549
26.3,-5.63737621,-16.28637214,12.24302966,,0.960493383,,-1.389683958
26.4,-5.647768737,-16.27212398,12.13344942,,0.968300212,,-1.502732206
26.5,-5.660039404,-16.25807764,12.02360665,,0.974224518,,-1.61625713
26.6,-5.674168875,-16.24422923,11.91351437,,0.97826683,,-1.730195593
26.7,-5.690137052,-16.23057474,11.8031858,,0.980427701,,-1.844482442
26.8,-5.707923089,-16.21711001,11.69263441,,0.980707846,,-1.95905053
26.9,-5.727505404,-16.20383077,11.58187383,,0.979108271,,-2.073830808
27,-5.748861697,-16.19073262,11.47091793,,0.975630383,,-2.188752525
27.1,-5.771968964,-16.17781103,11.35978079,,0.970276091,,-2.303743475
27.2,-5.796803511,-16.16506137,11.24847666,,0.96304789,,-2.418730276
27.3,-5.823340974,-16.15247888,11.13702002,,0.95394894,,-2.533638607
27.4,-5.851556332,-16.14005869,11.02542551,,0.942983131,,-2.648393376
27.5,-5.881423926,-16.12779584,10.91370799,,0.930155137,,-2.762918806
27.6,-5.912917474,-16.11568523,10.8018825,,0.915470467,,-2.877138452
27.7,-5.946010091,-16.1037217,10.68996424,,0.898935505,,-2.990975212
27.8,-5.980674306,-16.09189995,10.57796861,,0.880557541,,-3.104351389
27.9,-6.016882081,-16.08021461,10.46591119,,0.860344802,,-3.217188863
28,-6.054604828,-16.06866021,10.35380769,,0.838306473,,-3.329409415
28.1,-6.093813429,-16.0572312,10.24167403,,0.814452716,,-3.440935189
28.2,-6.134478258,-16.04592194,10.12952626,,0.788794687,,-3.551689246
28.3,-6.176569194,-16.03472671,10.01738058,,0.76134454,,-3.661596146
28.4,-6.220055647,-16.02363971,9.905253354,,0.732115442,,-3.770582468
28.5,-6.264906575,-16.01265509,9.79316108,,0.701121573,,-3.8785772
28.6,-6.311090507,-16.0017669,9.681120389,,0.668378132,,-3.985511965
28.7,-6.358575558,-15.99096914,9.569148044,,0.633901335,,-4.091321093
28.8,-6.407329455,-15.98025576,9.457260929,,0.59770841,,-4.195941569
28.9,-6.457319557,-15.96962065,9.345476046,,0.559817598,,-4.299312938
29,-6.508512874,-15.95905765,9.233810506,,0.520248142,,-4.401377212
29.1,-6.560876089,-15.94856053,9.122281525,,0.479020282,,-4.502078835
29.2,-6.614375581,-15.93812306,9.010906412,,0.43615524,,-4.601364703
29.3,-6.668977443,-15.92773893,8.899702567,,0.39167521,,-4.699184211
29.4,-6.724647508,-15.91740184,8.78868747,,0.345603345,,-4.795489264
29.5,-6.781351367,-15.90710543,8.677878676,,0.297963736,,-4.890234159
29.6,-6.839054392,-15.89684332,8.567293805,,0.248781396,,-4.983375297
29.7,-6.897721757,-15.88660913,8.456950539,,0.198082241,,-5.074870653
29.8,-6.957318461,-15.87639644,8.346866606,,0.145893063,,-5.164679055
29.9,-7.017809351,-15.86619885,8.237059779,,0.092241506,,-5.252759295
30,-7.079159139,-15.85600992,8.127547867,,0.037156043,,-5.339069205
30.1,-7.141332429,-15.84582324,8.018348701,,-0.019334057,,-5.423564813
30.2,-7.204293735,-15.83563239,7.909480133,,-0.07719876,,-5.506199705
30.3,-7.268007506,-15.82543096,7.800960024,,-0.136407297,,-5.586924717
30.4,-7.332438143,-15.81521257,7.692806234,,-0.196928199,,-5.66568801
